Number of classes: 650
Epoch 1/10
Batch 10600/18213 - Loss: nan, Accuracy: 0.15%
Batch 10700/18213 - Loss: nan, Accuracy: 0.15%
Batch 10800/18213 - Loss: nan, Accuracy: 0.15%
Batch 10900/18213 - Loss: nan, Accuracy: 0.15%
Batch 11000/18213 - Loss: nan, Accuracy: 0.15%
Batch 11100/18213 - Loss: nan, Accuracy: 0.15%
Batch 11200/18213 - Loss: nan, Accuracy: 0.15%
Batch 11300/18213 - Loss: nan, Accuracy: 0.15%
Batch 11400/18213 - Loss: nan, Accuracy: 0.16%
Batch 11500/18213 - Loss: nan, Accuracy: 0.15%
Batch 11600/18213 - Loss: nan, Accuracy: 0.16%
Batch 11700/18213 - Loss: nan, Accuracy: 0.15%
Batch 11800/18213 - Loss: nan, Accuracy: 0.16%
Batch 11900/18213 - Loss: nan, Accuracy: 0.16%
Batch 12000/18213 - Loss: nan, Accuracy: 0.16%
Batch 12100/18213 - Loss: nan, Accuracy: 0.15%
Batch 12200/18213 - Loss: nan, Accuracy: 0.15%
Batch 12300/18213 - Loss: nan, Accuracy: 0.15%
Batch 12400/18213 - Loss: nan, Accuracy: 0.16%
Batch 12500/18213 - Loss: nan, Accuracy: 0.16%
Batch 12600/18213 - Loss: nan, Accuracy: 0.16%
Batch 12700/18213 - Loss: nan, Accuracy: 0.15%
Batch 12800/18213 - Loss: nan, Accuracy: 0.15%
Batch 12900/18213 - Loss: nan, Accuracy: 0.15%
Batch 13000/18213 - Loss: nan, Accuracy: 0.15%
Batch 13100/18213 - Loss: nan, Accuracy: 0.15%
Batch 13200/18213 - Loss: nan, Accuracy: 0.16%
Batch 13300/18213 - Loss: nan, Accuracy: 0.15%
Batch 13400/18213 - Loss: nan, Accuracy: 0.15%
Batch 13500/18213 - Loss: nan, Accuracy: 0.15%
Batch 13600/18213 - Loss: nan, Accuracy: 0.15%
Batch 13700/18213 - Loss: nan, Accuracy: 0.15%
Batch 13800/18213 - Loss: nan, Accuracy: 0.15%
Batch 13900/18213 - Loss: nan, Accuracy: 0.15%
Batch 14000/18213 - Loss: nan, Accuracy: 0.15%
